pan_id,full_sample_id,partner,volume,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g,
107,POC-479-20220517,sym,5,0.73,0.7448,0.7398,0.0098
108,POC-480-20220517,sym,5,0.7585,0.7715,0.7689,0.0104
109,POC-481-20220517,sym,5,0.7295,0.7438,0.7402,0.0107
110,POC-482-20220517,sym,5,0.7416,0.7557,0.7524,0.0108
111,POC-483-20220517,sym,5,0.7453,0.7617,0.7569,0.0116
112,POC-484-20220517,sym,5,0.7319,0.7461,0.7427,0.0108
113,POC-485-20220517,sym,5,0.7432,0.7558,0.7531,0.0099
114,POC-466-20220414,sym,5,0.7345,0.749,0.7451,0.0106
115,POC-467-20220414,sym,5,0.7408,0.7553,0.7517,0.0109
116,POC-468-20220414,sym,5,0.7397,0.7597,0.7522,0.0125
117,POC-469-20220414,sym,5,0.7371,0.7499,0.7467,0.0096
118,POC-470-20220414,sym,5,0.7433,0.7567,0.7535,0.0102
119,POC-471-20220414,sym,5,0.7431,0.7597,0.7541,0.011
120,POC-472-20220414,sym,5,0.7275,0.7462,0.7398,0.0123
121,POC-473-20220414,sym,5,0.7341,0.7507,0.745,0.0109
122,POC-474-20220414,sym,5,0.7281,0.7425,0.7388,0.0107
123,POC-475-20220414,sym,5,0.7299,0.744,0.7405,0.0106
124,POC-476-20220413,sym,5,0.7409,0.7557,0.7523,0.0114
125,POC-477-20220413,sym,5,0.7478,0.7623,0.7584,0.0106
126,POC-478-20220413,sym,5,0.733,0.7422,0.7423,0.0093
127,POC-479-20220413,sym,5,0.7416,0.7615,0.7532,0.0116
128,POC-480-20220413,sym,5,0.7213,0.7349,0.7323,0.011
129,POC-481-20220413,sym,5,0.7328,0.7469,0.7434,0.0106
130,POC-482-20220413,sym,5,0.7348,0.7551,0.7483,0.0135
131,POC-483-20220413,sym,5,0.7497,0.7624,0.76,0.0103
132,POC-484-20220413,sym,5,0.7341,0.7498,0.7455,0.0114
133,POC-485-20220413,sym,5,0.7357,0.9514,0.747,0.0113
134,POC-466-20220917,sym,5,0.7443,0.7603,0.7571,0.0128
135,POC-467-20220917,sym,5,0.7317,0.746,0.7431,0.0114
136,POC-468-20220917,sym,5,0.7278,0.7439,0.7398,0.012
137,POC-469-20220917,sym,5,0.7483,0.7613,0.7581,0.0098
138,POC-470-20220917,sym,5,0.7344,0.743,0.7445,0.0101
